date;data
201504; 0.0174
201505; 0.0359
201506; 0.0343
201507; 0.0589
201508; 0.0851
201509; 0.1181
201510; 0.1066
201511; 0.1236
201512; 0.1284
201601; 0.1056
201602; 0.0832
201603; 0.0278
201604; 0.0331
201605; 0.0407
201606; 0.0451
201607; 0.0577
201608; 0.0713
201609; 0.0844
201610; 0.0979
201611; 0.1018
201612; 0.0951
201701; 0.0750
201702; 0.0477
201703; 0.0411
201704; 0.0377
201705; 0.0412
201706; 0.0661
201707; 0.0648
201708; 0.0846
201709; 0.1069
201710; 0.1287
201711; 0.1003
201712; 0.0961
201801; 0.0932
201802; 0.0503
201803; 0.0541
201804; 0.0355
201805; 0.0254
201806; 0.0400
201807; 0.0418
201808; 0.0783
201809; 0.0935
201810; 0.1018
201811; 0.1126
201812; 0.1202
201901; 0.0667
201902; 0.0819
201903; 0.0562
201904; 0.0430
201905; 0.0278
201906; 0.0519
201907; 0.0796
201908; 0.0964
201909; 0.1162
201910; 0.1493
201911; 0.1694
201912; 0.1397
202001; 0.1046
202002; 0.1107
202003; 0.0647
202004; 0.0604
202005; 0.0709
202006; 0.1006
202007; 0.0957
202008; 0.1268
202009; 0.1279
202010; 0.1525
202011; 0.1558
202012; 0.1395
202101; 0.0912
202102; 0.0897
202103; 0.0505
202104; 0.0558
202105; 0.0531
202106; 0.0698
202107; 0.0891
202108; 0.1026
202109; 0.1212
202110; 0.1328
202111; 0.1395
202112; 0.1208
202201; 0.1025
202202; 0.0967
202203; 0.0386
202204; 0.0516
202205; 0.0412
202206; 0.0617
